                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1439,                0.62359,                 1.5211,                0.94907,                0.99074,                0.98152,                 0.7001,                 1.0762,                0.54616,                 1.6298,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1229,                0.61555,                   1.51,                0.94634,                0.98822,                0.98064,                0.70337,                 1.0429,                0.55371,                 1.6232,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1177,                0.61854,                 1.5053,                0.94512,                0.98407,                0.96966,                0.68753,                 1.0988,                0.58416,                 1.7037,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1263,                0.61837,                  1.542,                0.95529,                0.98988,                0.97639,                0.72298,                 1.0247,                0.51734,                 1.5987,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1458,                0.62736,                 1.5388,                0.94821,                0.99134,                 0.9727,                0.70268,                 1.0232,                0.53415,                 1.5837,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1222,                0.59911,                 1.5155,                0.95639,                0.98984,                0.98432,                0.70163,                 1.0651,                0.53235,                 1.6072,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1061,                0.57786,                 1.4875,                0.95554,                0.98814,                0.97534,                0.70958,                 1.0118,                0.52614,                 1.5854,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.135,                0.59065,                 1.5238,                0.92453,                0.97479,                0.95606,                0.57877,                 1.4018,                0.67224,                 1.9823,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0997,                0.59341,                 1.5065,                0.95392,                0.99078,                0.98302,                0.69149,                 1.1107,                 0.5424,                 1.6533,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1107,                0.59663,                 1.5144,                0.95829,                0.99063,                0.98303,                0.72235,                 1.0186,                0.50768,                  1.579,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1082,                0.59221,                 1.4942,                0.96764,                0.99134,                0.98576,                0.72456,                 0.9977,                0.51995,                 1.5578,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1041,                0.58078,                 1.4936,                0.94907,                0.97516,                0.97666,                0.70843,                  1.012,                0.57062,                 1.6037,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0868,                0.57704,                 1.4968,                 0.9604,                0.99018,                 0.9832,                0.74022,                0.95618,                0.47898,                   1.53,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1033,                0.59149,                  1.463,                0.96523,                0.99292,                 0.9864,                0.71914,                 1.0172,                0.49991,                 1.5564,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1146,                0.57649,                 1.5013,                0.95827,                0.98933,                0.98545,                0.72651,                 1.0008,                0.47575,                 1.5558,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1017,                0.57368,                  1.496,                0.96012,                0.98277,                0.98008,                0.73738,                0.97128,                0.46363,                 1.5313,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0726,                0.56154,                 1.4827,                0.96835,                 0.9873,                0.98136,                0.73375,                 0.9733,                0.46535,                 1.5512,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0756,                0.54809,                  1.459,                0.96837,                0.98061,                  0.987,                0.74015,                0.96514,                0.45989,                 1.5318,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0847,                0.55727,                 1.4592,                0.96954,                0.98475,                0.98698,                0.73567,                0.97834,                0.45909,                 1.5488,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0762,                 0.5471,                 1.4616,                0.96601,                0.98935,                0.98633,                0.72439,                0.97796,                0.45691,                 1.5695,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0572,                0.53884,                 1.4638,                0.96902,                0.98295,                0.98337,                0.73737,                0.96885,                  0.469,                 1.5209,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.077,                 0.5445,                 1.4832,                0.96174,                 0.9903,                0.98783,                0.72879,                0.99459,                0.47036,                 1.5329,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0808,                 0.5359,                 1.4609,                0.95579,                0.98943,                0.98504,                0.73034,                0.98595,                0.47978,                 1.5268,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0681,                0.55431,                 1.4654,                0.95985,                 0.9879,                0.98516,                0.73054,                 0.9698,                0.47879,                 1.5353,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0446,                0.54918,                  1.456,                0.95652,                0.98973,                0.98512,                0.73442,                0.95254,                0.47388,                 1.5296,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0573,                0.55109,                 1.4586,                0.95604,                0.73114,                0.92691,                0.65062,                 1.1444,                 1.3929,                 1.7514,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0546,                 0.5379,                 1.4548,                0.96887,                0.98477,                 0.9856,                 0.7361,                 0.9672,                0.46664,                 1.5142,              0.0006768,              0.0006768,              0.0006768
                     62,                  1.037,                0.52438,                 1.4542,                 0.9732,                0.98933,                0.98787,                0.74665,                0.93117,                0.44574,                 1.4896,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0725,                0.53236,                 1.4685,                0.96548,                0.99342,                0.98567,                0.73897,                0.95929,                0.44746,                 1.5234,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0495,                0.53402,                 1.4419,                0.95005,                0.98682,                 0.9827,                0.71015,                 1.0597,                0.56317,                  1.655,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0433,                0.52534,                  1.467,                0.95656,                0.98385,                0.98622,                0.74272,                 0.9677,                0.46915,                 1.5104,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0361,                0.52824,                 1.4414,                0.96989,                0.98974,                0.98728,                0.74912,                 0.9273,                0.42346,                 1.4812,             0.00059429,             0.00059429,             0.00059429
                     67,                0.99327,                0.50294,                 1.3941,                0.97291,                0.99153,                0.98299,                0.74579,                0.92932,                0.43044,                 1.4989,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0195,                0.51905,                 1.4329,                0.96913,                0.99134,                0.98682,                0.74782,                0.93492,                0.42455,                 1.5133,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0174,                0.52212,                 1.4177,                0.95186,                0.97999,                0.98334,                0.69348,                 1.0965,                0.53439,                  1.693,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0452,                0.51637,                 1.4439,                0.97435,                0.98285,                0.98658,                0.74542,                0.97208,                0.42596,                 1.5169,             0.00052827,             0.00052827,             0.00052827
                     71,                  1.018,                0.50063,                 1.4324,                0.97084,                 0.9935,                0.98398,                0.75224,                0.91657,                0.41956,                 1.4734,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0207,                0.51206,                 1.4104,                0.96903,                0.98865,                0.98946,                0.74294,                0.94458,                0.44057,                 1.5138,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0285,                 0.5044,                  1.425,                0.96772,                0.99223,                0.98944,                0.76419,                0.90402,                0.40652,                 1.4703,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0509,                0.51289,                 1.4647,                0.96691,                0.98709,                0.98438,                0.73789,                0.96073,                0.43052,                 1.5366,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0277,                 0.5093,                 1.4237,                0.97732,                0.98765,                0.98812,                0.73933,                0.95378,                0.42082,                 1.5273,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0301,                 0.5143,                 1.4279,                0.96089,                0.99207,                0.98786,                0.73604,                0.97828,                0.43944,                 1.5659,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0439,                0.52204,                   1.45,                0.97367,                0.99134,                0.99046,                0.75327,                0.93163,                0.40896,                 1.4717,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0014,                 0.4913,                 1.4218,                0.97517,                0.98911,                0.98743,                0.75947,                0.91687,                0.40369,                 1.4571,             0.00039625,             0.00039625,             0.00039625
                     79,                0.98836,                0.48455,                 1.4021,                 0.9736,                0.99512,                0.98812,                0.75147,                 0.9495,                0.41415,                  1.493,             0.00037974,             0.00037974,             0.00037974
                     80,                0.99701,                0.49384,                 1.4088,                0.97348,                0.99014,                0.98979,                0.75634,                0.92392,                0.41117,                 1.4935,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.9942,                  0.488,                 1.4108,                 0.9717,                0.99359,                0.98468,                0.75622,                0.92478,                0.41566,                 1.4594,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0021,                0.50516,                 1.3946,                 0.9704,                0.99232,                0.98892,                0.76221,                0.90362,                0.40697,                 1.4562,             0.00033023,             0.00033023,             0.00033023
                     83,                0.98993,                0.49492,                 1.3857,                0.96992,                0.99255,                0.98844,                0.75405,                0.92271,                0.40632,                 1.4749,             0.00031373,             0.00031373,             0.00031373
                     84,                0.98182,                0.48764,                 1.4014,                0.97427,                0.99038,                0.98812,                0.76512,                0.90501,                0.40176,                 1.4573,             0.00029723,             0.00029723,             0.00029723
                     85,                0.99572,                0.48249,                 1.4005,                 0.9739,                0.98906,                0.98784,                0.74865,                   0.95,                 0.4187,                 1.4809,             0.00028072,             0.00028072,             0.00028072
                     86,                0.98958,                0.48265,                 1.4254,                0.97625,                0.98963,                0.98733,                0.76286,                0.89848,                0.39545,                 1.4509,             0.00026422,             0.00026422,             0.00026422
                     87,                0.98461,                0.48135,                 1.3874,                0.97114,                0.99224,                0.98772,                0.75775,                0.89389,                0.39862,                 1.4653,             0.00024772,             0.00024772,             0.00024772
                     88,                0.99078,                0.49241,                 1.4219,                0.97327,                0.99556,                0.98462,                0.76387,                0.89744,                0.40045,                 1.4484,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.9871,                0.47913,                 1.3842,                0.97433,                0.99425,                0.98671,                0.76789,                0.89083,                 0.3888,                 1.4434,             0.00021471,             0.00021471,             0.00021471
